region_from,region_to,firm_ttc_mw,notes
p1,p2,9000.0,REFS2009 avg value
p1,p4,9804.0,REFS2009 avg value
p10,p11,7240.0,REFS2009 avg value
p10,p12,7.878115226,REFS2009 avg value
p10,p13,2283.0,REFS2009 avg value
p10,p136,947.0,REFS2009 avg value
p10,p25,1920.0,Intermountain Power Project (DC)
p10,p27,1746.0,REFS2009 avg value
p10,p28,1204.407438,REFS2009 avg value
p100,p116,1319.028889,REFS2009 avg value
p101,p102,12071.62,REFS2009 avg value
p103,p104,1134.599285,REFS2009 avg value
p103,p105,378.4450672,REFS2009 avg value
p103,p111,390.9556479,REFS2009 avg value
p104,p105,2076.929,REFS2009 avg value
p105,p106,2323.153,REFS2009 avg value
p105,p107,8378.471,REFS2009 avg value
p105,p112,3978.799,REFS2009 avg value
p106,p107,4428.458,REFS2009 avg value
p107,p108,24.34780113,REFS2009 avg value
p107,p109,96.92890451,REFS2009 avg value
p107,p112,1719.684,REFS2009 avg value
p107,p114,1364.905,REFS2009 avg value
p108,p109,672.3441,REFS2009 avg value
p109,p110,82.40497884,REFS2009 avg value
p109,p112,45.76770213,REFS2009 avg value
p109,p114,137.5727814,REFS2009 avg value
p109,p118,22.76827606,REFS2009 avg value
p11,p135,500.0,REFS2009 avg value
p110,p112,83.15455,REFS2009 avg value
p110,p117,2996.277,REFS2009 avg value
p110,p118,379.7128,REFS2009 avg value
p111,p112,5400.883073,REFS2009 avg value
p111,p115,2707.832732,REFS2009 avg value
p111,p116,1130.114,REFS2009 avg value
p111,p122,1397.261576,REFS2009 avg value
p112,p113,3198.643,REFS2009 avg value
p112,p114,2557.524,REFS2009 avg value
p112,p115,1640.869,REFS2009 avg value
p112,p116,2407.762,REFS2009 avg value
p112,p117,1045.597,REFS2009 avg value
p113,p114,2489.325,REFS2009 avg value
p115,p116,2196.172,REFS2009 avg value
p115,p122,2231.149567,REFS2009 avg value
p116,p117,3363.475,REFS2009 avg value
p116,p118,425.4031,REFS2009 avg value
p116,p120,296.337978,REFS2009 avg value
p116,p121,3075.146,REFS2009 avg value
p117,p118,8936.884235,REFS2009 avg value
p119,p122,2530.131135,REFS2009 avg value
p12,p13,252.8711057,REFS2009 avg value
p12,p15,863.0,REFS2009 avg value
p12,p25,319.0,REFS2009 avg value
p120,p121,379.931703,REFS2009 avg value
p120,p122,205.3817629,REFS2009 avg value
