case_id,year,time_series,load_growth_flexibility,load_growth,allow_retirement,policies,resource_limits,fuel_price_forecast,make_split_models
p1,2024,p1,none,none,yes,current,none,y2024,no
p1,2030,p1,firm,icf,yes,current,none,hist5,no
p1_low_gas,2030,p1,firm,icf,yes,current,low_gas,hist5,no
p1_high_gas,2030,p1,firm,icf,yes,current,high_gas,hist5,no
s4x5,2030,s4x5,firm,icf,yes,current,none,hist5,no
s10x5,2024,s10x5,none,none,yes,current,none,y2024,no
s10x5,2030,s10x5,firm,icf,yes,current,none,hist5,no
s10_flex_001,2030,s10x5,flex_001,icf,yes,current,none,hist5,no
s4x5,2024,s4x5,firm,icf,yes,current,none,y2024,no
s4x5_flat,2030,s4x5,none,none,yes,current,none,hist5,no
s20x1,2024,s20x1,firm,icf,yes,current,none,y2024,no
s20x1,2030,s20x1,firm,icf,yes,current,none,hist5,no
s20x1_flat,2030,s20x1,none,none,yes,current,none,hist5,no
s20x1_decarb,2030,s20x1,firm,icf,yes,decarb,none,hist5,no
s40x1,2024,s40x1,firm,icf,no,current,none,y2024,no
s40x1,2030,s40x1,firm,icf,yes,current,none,hist5,no
s1x1,2024,s1x1,firm,icf,yes,current,none,y2024,no
s1x1,2030,s1x1,firm,icf,yes,current,none,hist5,no
s4x1,2024,s4x1,firm,icf,yes,current,none,y2024,no
s4x1,2029,s4x1,firm,icf,yes,current,none,hist5,no
s4x1,2030,s4x1,firm,icf,yes,current,none,hist5,no
s4x1,2035,s4x1,firm,icf,yes,current,none,hist5,no
s4x1_aeo_fuel,2030,s4x1,firm,icf,yes,current,none,aeo2025,no
s4x1_peak_fuel,2030,s4x1,firm,icf,yes,current,none,y2022,no
s40x1_low_growth,2030,s40x1,firm,low,yes,current,none,hist5,no
s40x1_peak_fuel,2030,s40x1,firm,icf,yes,current,none,y2022,no
resource_adequacy,2024,s2555x1,firm,icf,no,current,none,y2024,yes
resource_adequacy,2030,s2555x1,firm,icf,yes,current,none,hist5,yes
